                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90869,                 1.5004,                 1.0013,                0.65724,                0.68375,                0.74311,                0.58654,                0.77084,                  1.262,                0.91997,             7.7778e-05,             7.7778e-05,             7.7778e-05
                     36,                0.91604,                 1.4689,                0.99931,                0.69198,                0.68573,                0.75237,                0.59627,                0.76145,                 1.2333,                0.91317,             7.3066e-05,             7.3066e-05,             7.3066e-05
                     37,                0.90782,                 1.4627,                0.99782,                0.71197,                0.67308,                0.75392,                0.59378,                0.76283,                 1.2199,                0.91522,             6.8354e-05,             6.8354e-05,             6.8354e-05
                     38,                0.89145,                 1.4301,                0.99447,                0.68536,                0.71688,                0.76603,                0.60989,                0.76713,                 1.2016,                0.91824,             6.3641e-05,             6.3641e-05,             6.3641e-05
                     39,                0.89632,                 1.4311,                 0.9971,                0.68763,                0.73209,                0.77995,                0.61956,                0.76138,                  1.162,                0.91214,             5.8929e-05,             5.8929e-05,             5.8929e-05
                     40,                 0.8931,                 1.4136,                0.99745,                0.70716,                0.73089,                0.78262,                0.62358,                0.75382,                 1.1476,                0.90948,             5.4216e-05,             5.4216e-05,             5.4216e-05
                     41,                0.71708,                 1.2316,                0.89738,                0.67794,                0.70501,                0.75333,                0.60064,                0.75584,                 1.2306,                0.91101,             4.9504e-05,             4.9504e-05,             4.9504e-05
                     42,                0.70273,                 1.0852,                0.89272,                0.69118,                0.72687,                0.77023,                0.61563,                 0.7461,                 1.1974,                0.90623,             4.4792e-05,             4.4792e-05,             4.4792e-05
                     43,                0.68328,                 1.0378,                0.88196,                0.70202,                0.72234,                0.77435,                 0.6212,                0.74482,                 1.1876,                0.90686,             4.0079e-05,             4.0079e-05,             4.0079e-05
                     44,                0.68272,                 1.0218,                0.88116,                0.71527,                0.74449,                0.78823,                0.63107,                0.74091,                 1.1429,                0.90387,             3.5367e-05,             3.5367e-05,             3.5367e-05
                     45,                0.67043,                0.99491,                0.88241,                0.70017,                0.73752,                0.79105,                0.63492,                0.74632,                 1.1447,                0.90553,             3.0654e-05,             3.0654e-05,             3.0654e-05
                     46,                0.67781,                0.97733,                0.87985,                0.75739,                0.72362,                0.78789,                0.63094,                0.74314,                 1.1406,                0.90446,             2.5942e-05,             2.5942e-05,             2.5942e-05
                     47,                0.67874,                0.95935,                 0.8796,                 0.7336,                 0.7441,                 0.7985,                0.64078,                0.74191,                 1.1208,                0.90387,              2.123e-05,              2.123e-05,              2.123e-05
                     48,                0.66388,                 0.9474,                0.87453,                0.74182,                0.73839,                0.79399,                0.63792,                0.73674,                 1.1239,                0.90215,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     49,                 0.6671,                0.94121,                0.87649,                 0.7404,                0.74136,                0.79811,                 0.6411,                0.73942,                 1.1139,                0.90342,             1.1805e-05,             1.1805e-05,             1.1805e-05
                     50,                0.66472,                0.95012,                0.87734,                0.74435,                0.73371,                0.79721,                0.64137,                0.73516,                 1.1161,                0.90157,             7.0924e-06,             7.0924e-06,             7.0924e-06
